BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 0 0
InsertionSort 0 0
SelectionSort 0 0
QuickSort 0 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 1 0
InsertionSort 1 0
SelectionSort 1 0
QuickSort 1 0
BubbleSort 10 45
InsertionSort 10 22
SelectionSort 10 45
QuickSort 10 39
BubbleSort 10 90
InsertionSort 10 33
SelectionSort 10 45
QuickSort 10 37
BubbleSort 10 81
InsertionSort 10 33
SelectionSort 10 45
QuickSort 10 34
BubbleSort 10 72
InsertionSort 10 29
SelectionSort 10 45
QuickSort 10 32
BubbleSort 10 63
InsertionSort 10 34
SelectionSort 10 45
QuickSort 10 21
BubbleSort 10 72
InsertionSort 10 33
SelectionSort 10 45
QuickSort 10 42
BubbleSort 10 72
InsertionSort 10 33
SelectionSort 10 45
QuickSort 10 21
BubbleSort 10 81
InsertionSort 10 37
SelectionSort 10 45
QuickSort 10 26
BubbleSort 10 81
InsertionSort 10 34
SelectionSort 10 45
QuickSort 10 35
BubbleSort 10 63
InsertionSort 10 31
SelectionSort 10 45
QuickSort 10 27
BubbleSort 100 8316
InsertionSort 100 2554
SelectionSort 100 4950
QuickSort 100 808
BubbleSort 100 7920
InsertionSort 100 2526
SelectionSort 100 4950
QuickSort 100 818
BubbleSort 100 9405
InsertionSort 100 2522
SelectionSort 100 4950
QuickSort 100 949
BubbleSort 100 9504
InsertionSort 100 2433
SelectionSort 100 4950
QuickSort 100 881
BubbleSort 100 8613
InsertionSort 100 2240
SelectionSort 100 4950
QuickSort 100 878
BubbleSort 100 9207
InsertionSort 100 2473
SelectionSort 100 4950
QuickSort 100 1062
BubbleSort 100 7623
InsertionSort 100 2407
SelectionSort 100 4950
QuickSort 100 797
BubbleSort 100 8910
InsertionSort 100 2499
SelectionSort 100 4950
QuickSort 100 784
BubbleSort 100 8019
InsertionSort 100 2536
SelectionSort 100 4950
QuickSort 100 796
BubbleSort 100 8910
InsertionSort 100 2875
SelectionSort 100 4950
QuickSort 100 742
BubbleSort 1000 932067
InsertionSort 1000 256596
SelectionSort 1000 499500
QuickSort 1000 14406
BubbleSort 1000 976023
InsertionSort 1000 245839
SelectionSort 1000 499500
QuickSort 1000 15155
BubbleSort 1000 925074
InsertionSort 1000 248777
SelectionSort 1000 499500
QuickSort 1000 13614
BubbleSort 1000 950049
InsertionSort 1000 246587
SelectionSort 1000 499500
QuickSort 1000 14245
BubbleSort 1000 971028
InsertionSort 1000 246899
SelectionSort 1000 499500
QuickSort 1000 14126
BubbleSort 1000 979020
InsertionSort 1000 249215
SelectionSort 1000 499500
QuickSort 1000 14125
BubbleSort 1000 974025
InsertionSort 1000 257343
SelectionSort 1000 499500
QuickSort 1000 14234
BubbleSort 1000 965034
InsertionSort 1000 252630
SelectionSort 1000 499500
QuickSort 1000 13165
BubbleSort 1000 990009
InsertionSort 1000 254329
SelectionSort 1000 499500
QuickSort 1000 14735
BubbleSort 1000 990009
InsertionSort 1000 249941
SelectionSort 1000 499500
QuickSort 1000 15511
BubbleSort 10000 96240375
InsertionSort 10000 25062113
SelectionSort 10000 49995000
QuickSort 10000 238727
BubbleSort 10000 99210078
InsertionSort 10000 24747145
SelectionSort 10000 49995000
QuickSort 10000 209072
BubbleSort 10000 97770222
InsertionSort 10000 25252327
SelectionSort 10000 49995000
QuickSort 10000 222131
BubbleSort 10000 98930106
InsertionSort 10000 25042674
SelectionSort 10000 49995000
QuickSort 10000 194184
BubbleSort 10000 98170182
InsertionSort 10000 24987971
SelectionSort 10000 49995000
QuickSort 10000 203674
BubbleSort 10000 98240175
InsertionSort 10000 24998726
SelectionSort 10000 49995000
QuickSort 10000 212333
BubbleSort 10000 99290070
InsertionSort 10000 24983029
SelectionSort 10000 49995000
QuickSort 10000 190757
BubbleSort 10000 98900109
InsertionSort 10000 25056317
SelectionSort 10000 49995000
QuickSort 10000 194388
BubbleSort 10000 99140085
InsertionSort 10000 24908043
SelectionSort 10000 49995000
QuickSort 10000 199063
BubbleSort 10000 97980201
InsertionSort 10000 24730197
SelectionSort 10000 49995000
QuickSort 10000 237686
